"book_id","isbn","authors","original_publication_year","original_title","title","language_code","image_url"
8944,"812508645","Orson Scott Card",1996,"Pastwatch: The Redemption of Christopher Columbus","Pastwatch: The Redemption of Christopher Columbus","en-US","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
8945,"752848267","Lisa Gardner",2001,"The Next Accident","The Next Accident (Quincy & Rainie, #3)","en-US","https://images.gr-assets.com/books/1348816896m/32529.jpg"
8946,"9646534783","Hafez",1380,"دیوان‎‎ [Dīvān]","The Divan","eng","https://images.gr-assets.com/books/1327770153m/46292.jpg"
8947,"915297019","John L. Parker Jr.",1978,"Once a Runner","Once a Runner","nan","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
8948,"1596434465","Ben Hatke",2011,"Zita the Spacegirl","Zita the Spacegirl (Zita the Spacegirl, #1)","eng","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
8949,"140441050","Dante Alighieri, Dorothy L. Sayers, Barbara Reynolds",1320,"Paradiso","Paradiso (The Divine Comedy, #3)","eng","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
8950,"747589372","William  Boyd",2006,"Restless","Restless","eng","https://images.gr-assets.com/books/1330951946m/72148.jpg"
8951,"140376410","Nancy Farmer",1994,"The Ear, the Eye, and the Arm","The Ear, the Eye, and the Arm","nan","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
8952,"nan","Amy Lichtenhan, A.L. Jackson",2011,"Pulled","Take This Regret (Take This Regret, #1)","eng","https://images.gr-assets.com/books/1347389725m/11784281.jpg"
8953,"439568455","R.L. Stine",1992,"Stay Out of the Basement","Stay Out of the Basement  (Goosebumps, #2)","nan","https://images.gr-assets.com/books/1328867797m/125542.jpg"
8954,"nan","Kathryn Croft",2016,"nan","The Girl You Lost","eng","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
8955,"nan","Belle Aurora",2013,"Willing Captive","Willing Captive","eng","https://images.gr-assets.com/books/1371600310m/18071296.jpg"
8956,"439568412","R.L. Stine",1994,"One Day at Horrorland","One Day at Horrorland (Goosebumps, #16)","nan","https://images.gr-assets.com/books/1328867794m/125540.jpg"
8957,"767928881","David Lebovitz",2009,"The Sweet Life in Paris: A Recipe for Living in the World's Most Delicious City","The Sweet Life in Paris: Delicious Adventures in the World's Most Glorious - and Perplexing - City","eng","https://images.gr-assets.com/books/1320533633m/6055063.jpg"
8958,"373211392","Julie Kagawa",2014,"Talon","Talon (Talon, #1)","eng","https://images.gr-assets.com/books/1397581124m/17331828.jpg"
8959,"nan","Grace Draven",2014,"Radiance","Radiance (Wraith Kings, #1)","eng","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
8960,"385535775","Mark Haddon",2012,"The Red House","The Red House","eng","https://images.gr-assets.com/books/1333578268m/12878667.jpg"
8961,"345418425","Larry Niven, Jerry Pournelle",1985,"Footfall","Footfall","nan","https://images.gr-assets.com/books/1320440216m/116356.jpg"
8962,"525422242","Heather Brewer",2010,"Twelfth Grade Kills","Twelfth Grade Kills (The Chronicles of Vladimir Tod, #5)","eng","https://images.gr-assets.com/books/1268256304m/7818881.jpg"
8963,"6161413","Alistair MacLean",1963,"Ice Station Zebra","Ice Station Zebra","eng","https://images.gr-assets.com/books/1364039405m/149621.jpg"
8964,"1400064996","Ronald C. White Jr.",2009,"A. Lincoln: A Biography","A. Lincoln","en-US","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
8965,"451527291","William Shakespeare, Sylvan Barnet, Alvin Kernan, Russell Fraser",1982,"Four Great Tragedies: Hamlet, Othello, King Lear, Macbeth (Signet Classics)","Four Great Tragedies: Hamlet / Othello / King Lear / Macbeth","en-US","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
8966,"749935081","Susan Elizabeth Phillips",2004,"Ain't She Sweet?","Ain't She Sweet","en-GB","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
8967,"1455559318","Jodi Ellen Malpas",2014,"nan","Promised (One Night, #1)","eng","https://images.gr-assets.com/books/1398092254m/21795430.jpg"
8968,"61134104","Neal Shusterman",2010,"Bruiser","Bruiser","en-US","https://images.gr-assets.com/books/1318261800m/1931915.jpg"
8969,"043933909X","Jon J. Muth",2003,"Stone Soup","Stone Soup","nan","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
8970,"nan","Lois McMaster Bujold",1987,"Falling Free","Falling Free (Vorkosigan Saga, #4)","eng","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
8971,"147515025","Gayle Forman",2014,"nan","If I Stay Collection (If I Stay, #1-2)","eng","https://images.gr-assets.com/books/1441837844m/21873331.jpg"
8972,"743296788","Jeffery Deaver",2006,"The Cold Moon","The Cold Moon (Lincoln Rhyme, #7)","en-US","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
8973,"009959241X","Salman Rushdie",1995,"The Moor's Last Sigh","The Moor's Last Sigh","eng","https://images.gr-assets.com/books/1359386233m/9865.jpg"
8974,"61732370","Gayle Tzemach Lemmon",2011,"The Dressmaker of Khair Khana: Five Sisters, One Remarkable Family, and the Woman Who Risked Everything to Keep Them Safe","The Dressmaker of Khair Khana: Five Sisters, One Remarkable Family, and the Woman Who Risked Everything to Keep Them Safe","eng","https://images.gr-assets.com/books/1279213493m/8584913.jpg"
8975,"393313964","David Foster Wallace",1988,"Girl with Curious Hair","Girl With Curious Hair","nan","https://images.gr-assets.com/books/1350027419m/45760.jpg"
8976,"896214400","Stephen King",1982,"The Shawshank Redemption","Rita Hayworth and Shawshank Redemption: A Story from Different Seasons","eng","https://images.gr-assets.com/books/1315100686m/39664.jpg"
8977,"141659907X","A.J. Jacobs",2012,"nan","Drop Dead Healthy: One Man's Humble Quest for Bodily Perfection","eng","https://images.gr-assets.com/books/1344398815m/8570787.jpg"
8978,"1417642122","Bill Watterson",1991,"The Revenge of the Baby-Sat: A Calvin and Hobbes Collection","The Revenge of the Baby-Sat","nan","https://images.gr-assets.com/books/1384734025m/121792.jpg"
8979,"1904633684","Arthur Conan Doyle",1927,"The Case-Book of Sherlock Holmes","The Case-Book of Sherlock Holmes","eng","https://images.gr-assets.com/books/1316863480m/162823.jpg"
8980,"316113573","Tonya Hurley",2008,"Ghostgirl","Ghostgirl (Ghostgirl, #1)","eng","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
8981,"147674906X","Mary Higgins Clark, Alafair Burke",2014,"I've Got You Under My Skin","I've Got You Under My Skin (Under Suspicion, #1)","eng","https://images.gr-assets.com/books/1397768065m/18143968.jpg"
8982,"1401216862","Bill Willingham, Mark Buckingham, Steve Leialoha, Aaron Alexovich, Andrew Pepoy",2008,"Fables, Volume 10: The Good Prince","Fables, Vol. 10: The Good Prince","eng","https://images.gr-assets.com/books/1375393788m/2147714.jpg"
8983,"385518684","Barbara Delinsky",2008,"The Secret Between Us","The Secret Between Us","nan","https://images.gr-assets.com/books/1320407845m/1268348.jpg"
8984,"446359688","Larry Bond, Patrick Larkin",1989,"Red Phoenix","Red Phoenix (Red Phoenix #1)","eng","https://images.gr-assets.com/books/1298859399m/981161.jpg"
8985,"055380717X","Linwood Barclay",2010,"Never Look Away","Never Look Away","eng","https://images.gr-assets.com/books/1320510305m/6678884.jpg"
8986,"553807137","Dean Koontz",2008,"Your Heart Belongs to Me","Your Heart Belongs to Me","eng","https://images.gr-assets.com/books/1320422724m/2983562.jpg"
8987,"425136981","Leigh Nichols, Dean Koontz",1987,"Shadow Fires","Shadow Fires","eng","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
8988,"7256752","Naomi Novik",2008,"Victory of Eagles (Temeraire, #5)","Victory of Eagles (Temeraire, #5)","en-GB","https://images.gr-assets.com/books/1327942237m/891593.jpg"
8989,"552548928","Malorie Blackman",2003,"Knife Edge (Noughts and Crosses, #2)","Knife Edge (Noughts & Crosses, #2)","nan","https://images.gr-assets.com/books/1364405912m/300044.jpg"
8990,"006199104X","James Rollins, Rebecca Cantrell",2013,"The Blood Gospel: The Order of the Sanguines Series","The Blood Gospel (The Order of the Sanguines, #1)","en-CA","https://images.gr-assets.com/books/1357605320m/15818164.jpg"
8991,"nan","Tijan",2013,"nan","Fallen Crest Public (Fallen Crest High, #3)","eng","https://images.gr-assets.com/books/1383257344m/18110808.jpg"
8992,"60817321","Josh Kilmer-Purcell",2006,"I Am Not Myself These Days","I Am Not Myself These Days","eng","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
8993,"144241314X","Lauren Barnholdt",2011,"nan","Sometimes It Happens","en-US","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
8994,"1439102430","Kathy Reichs",2012,"Bones Are Forever","Bones Are Forever (Temperance Brennan, #15)","eng","https://images.gr-assets.com/books/1333675935m/13030356.jpg"
8995,"441012396","Robin McKinley",1993,"Deerskin","Deerskin","en-US","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
8996,"679735259","Michael Herr",1977,"Dispatches","Dispatches","en-GB","https://images.gr-assets.com/books/1343099128m/4339.jpg"
8997,"307593495","Henning Mankell, Laurie Thompson",2009,"Handen","The Troubled Man (Kurt Wallander, #10)","eng","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
8998,"2266071289","Lorenzo Carcaterra",1995,"Sleepers","Sleepers","eng","https://images.gr-assets.com/books/1327871596m/292740.jpg"
8999,"674024451","Walter Benjamin, Michael W. Jennings, Brigid Doherty, Edmund F.N. Jephcott, Rodney Livingstone, Howard Eiland, Thomas Y. Levin",1936,"Das Kunstwerk im Zeitalter seiner technischen Reproduzierbarkeit","The Work of Art in the Age of Its Technological Reproducibility, and Other Writings on Media","eng","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
9000,"743484339","Mary Higgins Clark",1997,"Pretend You Don't See Her","Pretend You Don't See Her","eng","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
9001,"61939897","Sarah Palin, Lynn Vincent, Dewey Whetsell",2009,"Going Rogue: An American Life","Going Rogue: An American Life","eng","https://images.gr-assets.com/books/1380033996m/6922622.jpg"
9002,"761117199","Anne Byrn, Anthony Loew",1999,"The Cake Mix Doctor","The Cake Mix Doctor","nan","https://images.gr-assets.com/books/1404582048m/402017.jpg"
9003,"1416984488","Rick Yancey",2009,"The Monstrumologist","The Monstrumologist (The Monstrumologist, #1)","eng","https://images.gr-assets.com/books/1307409930m/6457229.jpg"
9004,"679729453","Robert A. Caro",1982,"The Path to Power","The Path to Power (The Years of Lyndon Johnson, #1)","eng","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
9005,"006232540X","Patricia Cornwell",2015,"Depraved Heart","Depraved Heart (Kay Scarpetta, #23)","nan","https://images.gr-assets.com/books/1439833245m/24903919.jpg"
9006,"826328091","Forrest Carter",1976,"The Education of Little Tree","The Education of Little Tree","nan","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
9007,"373210027","Gena Showalter",2009,"Intertwined","Intertwined (Intertwined, #1)","eng","https://images.gr-assets.com/books/1388656493m/6344423.jpg"
9008,"99437597","Richard Brautigan",1968,"In Watermelon Sugar","In Watermelon Sugar","eng","https://images.gr-assets.com/books/1482476781m/46182.jpg"
9009,"nan","Ali Novak, Fallzswimmer",2012,"My Life with the Walter Boys","My Life with the Walter Boys (My Life with the Walter Boys #1)","eng","https://images.gr-assets.com/books/1486398662m/13580846.jpg"
9010,"439858038","John Marsden",1997,"Burning For Revenge","Burning For Revenge (Tomorrow, #5)","eng","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
9011,"1550229788","Crissy Calhoun",2010,"Love You to Death: The Unofficial Companion to The Vampire Diaries","Love You to Death: The Unofficial Companion to the Vampire Diaries","en-US","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
9012,"nan","Liane Moriarty",2013,"nan","The Husband's Secret Free Preview","eng","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
9013,"1606841440","Myra McEntire",2011,"Hourglass","Hourglass (Hourglass, #1)","eng","https://images.gr-assets.com/books/1360175970m/9182478.jpg"
9014,"71373586","Al Ries, Jack Trout",1980,"Positioning: The Battle for Your Mind","Positioning: The Battle for Your Mind: How to Be Seen and Heard in the Overcrowded Marketplace","nan","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
9015,"425237796","Nalini Singh",2010,"nan","Play of Passion (Psy-Changeling #9)","eng","https://images.gr-assets.com/books/1272490500m/7831145.jpg"
9016,"141993595X","Laurann Dohner",2011,"nan","Fury (New Species, #1)","eng","https://images.gr-assets.com/books/1311761846m/12063467.jpg"
9017,"375714685","David B.",2002,"nan","Epileptic","eng","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
9018,"1559363304","Tracy Letts",2008,"August: Osage County","August: Osage County","eng","https://images.gr-assets.com/books/1354209733m/2437710.jpg"
9019,"886779065","Tad Williams",1999,"Mountain of Black Glass","Mountain of Black Glass (Otherland, #3)","en-US","https://images.gr-assets.com/books/1309992323m/10090.jpg"
9020,"553593617","Susan Elia MacNeal",2012,"nan","Mr. Churchill's Secretary (Maggie Hope Mystery, #1)","eng","https://images.gr-assets.com/books/1333578794m/10161216.jpg"
9021,"60988649","Gregory Maguire, Douglas Smith",2001,"Lost","Lost","eng","https://images.gr-assets.com/books/1407711681m/24929.jpg"
9022,"312858868","Christopher Priest",1995,"The Prestige","The Prestige","eng","https://images.gr-assets.com/books/1414195709m/239239.jpg"
9023,"023070395X","Donald McCaig",2007,"Rhett Butler's People","Rhett Butler's People","nan","https://images.gr-assets.com/books/1327920861m/1503274.jpg"
9024,"1559362316","Tony Kushner",1993,"Angels in America:  A Gay Fantasia on National Themes","Angels in America","eng","https://images.gr-assets.com/books/1170797663m/72003.jpg"
9025,"375724370","Michael Ondaatje",2000,"Anil's Ghost","Anil's Ghost","eng","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
9026,"553582933","Dean Koontz",1993,"Winter Moon","Winter Moon","eng","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
9027,"nan","Kristen Ashley",2014,"The Will","The Will (Magdalene, #1)","eng","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
9028,"316406813","Chris Colfer, Brandon Dorman",2014,"A Grimm Warning","A Grimm Warning (The Land of Stories, #3)","eng","https://images.gr-assets.com/books/1391709728m/20706320.jpg"
9029,"1477823484","Scott  Meyer",2014,"nan","Spell or High Water (Magic 2.0, #2)","eng","https://images.gr-assets.com/books/1395612093m/21483760.jpg"
9030,"nan","Melody Anne",2011,"The Billionaire Wins the Game","The Billionaire Wins the Game (Billionaire Bachelors, #1)","eng","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
9031,"345519515","Maya Banks",2011,"Never Love a Highlander","Never Love a Highlander (McCabe Trilogy, #3)","eng","https://images.gr-assets.com/books/1348707357m/10378106.jpg"
9032,"020161622X","Andrew Hunt, Dave Thomas",1999,"The Pragmatic Programmer: From Journeyman to Master","The Pragmatic Programmer: From Journeyman to Master","en-US","https://images.gr-assets.com/books/1401432508m/4099.jpg"
9033,"9799822939","Dee Lestari",2004,"Supernova: Petir","Supernova: Petir","ind","https://images.gr-assets.com/books/1404292897m/1421046.jpg"
9034,"356504263","James S.A. Corey",2016,"Babylon's Ashes","Babylon's Ashes (The Expanse, #6)","eng","https://images.gr-assets.com/books/1442247299m/25877663.jpg"
9035,"nan","Katee Robert",2012,"Wrong Bed, Right Guy","Wrong Bed, Right Guy (Come Undone, #1)","eng","https://images.gr-assets.com/books/1345817565m/15762975.jpg"
9036,"142003808","T.C. Boyle, Richard Poe",2003,"Drop City","Drop City","eng","https://images.gr-assets.com/books/1327936131m/24724.jpg"
9037,"1401219217","Brian K. Vaughan, Pia Guerra, José Marzán Jr., Pamela Rambo, Clem Robins, J.G. Jones",2008,"Y: The Last Man - The Deluxe Edition Book One","Y: The Last Man - The Deluxe Edition Book One","eng","https://images.gr-assets.com/books/1288024278m/3710603.jpg"
9038,"1592402739","Diablo Cody",2005,"Candy Girl","Candy Girl: A Year in the Life of an Unlikely Stripper","en-US","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
9039,"nan","أنيس منصور",1963,"حول العالم في 200 يوم","حول العالم في 200 يوم","ara","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
9040,"316407038","James Patterson, Michael Ledwidge",2015,"Alert","Alert (Michael Bennett, #8)","eng","https://images.gr-assets.com/books/1424306640m/24396884.jpg"
9041,"nan","Madeline Sheehan",2013,"nan","Unattainable (Undeniable, #3)","eng","https://images.gr-assets.com/books/1366984625m/16114862.jpg"
9042,"385352093","Peter Heller",2014,"The Painter","The Painter","eng","https://images.gr-assets.com/books/1409595558m/18310201.jpg"
9043,"440114330","Steven Spielberg",1977,"Close Encounters of the Third Kind","Close Encounters Of The Third Kind","eng","https://images.gr-assets.com/books/1396112231m/975119.jpg"
9044,"679410503","Anne Rice, Robert O'Keefe, F. Murray Abraham, Michael York, Kate Nelligan, David Purdham",1989,"The Vampire Chronicles","Vampire Chronicles: Interview with the Vampire, The Vampire Lestat, The Queen of the Damned (Anne Rice)","eng","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
9045,"394873335","Stan Berenstain, Jan Berenstain",1985,"nan","The Berenstain Bears Forget Their Manners","en-US","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
9046,"1402245858","Olivia Cunning",2013,"Hot Ticket","Hot Ticket (Sinners on Tour, #3)","eng","https://images.gr-assets.com/books/1348005153m/12710035.jpg"
9047,"553589482","Iris Johansen",2000,"The Search","The Search (Eve Duncan, #3)","en-US","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
9048,"043932162X","J.K. Rowling",2001,"nan","Harry Potter Schoolbooks Box Set: Two Classic Books from the Library of Hogwarts School of Witchcraft and Wizardry","eng","https://images.gr-assets.com/books/1479775271m/2002.jpg"
9049,"895941228","Audre Lorde",1982,"Zami: A New Spelling of My Name","Zami: A New Spelling of My Name","eng","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
9050,"316200980","Cassandra Clare, Hye-Kyung Baek",2012,"nan","The Infernal Devices: Clockwork Angel (The Infernal Devices: Manga, #1)","eng","https://images.gr-assets.com/books/1344542903m/13226173.jpg"
9051,"9793210605","Tere Liye",2005,"Hafalan Shalat Delisa","Hafalan Shalat Delisa","ind","https://images.gr-assets.com/books/1303475676m/1376220.jpg"
9052,"1250045630","Darynda Jones",2014,"Sixth Grave on the Edge","Sixth Grave on the Edge (Charley Davidson, #6)","en-US","https://images.gr-assets.com/books/1396827029m/16061295.jpg"
9053,"399163603","John Flanagan",2013,"The Royal Ranger (Ranger's Apprentice, #12)","The Royal Ranger (Ranger's Apprentice, #12)","nan","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
9054,"374271569","Amy Waldman",2011,"The Submission","The Submission","eng","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
9055,"618640142","Alan Lee, Ian McKellen",2005,"The Lord of the Rings Sketchbook","The Lord of the Rings Sketchbook","eng","https://images.gr-assets.com/books/1416453209m/25790.jpg"
9056,"312575939","Jenna Black",2010,"Glimmerglass","Glimmerglass (Faeriewalker, #1)","en-US","https://images.gr-assets.com/books/1408500427m/7234828.jpg"
9057,"1846054729","James Patterson, Howard Roughan",2010,"Don't Blink","Don't Blink","eng","https://images.gr-assets.com/books/1328433484m/6987558.jpg"
9058,"345444078","Stephen Jones, H.P. Lovecraft, Kim Newman, Brian Mooney, Nicholas Royle, David Langford, Michael Marshall Smith, Brian Lumley, Neil Gaiman, Basil Copper, Jack Yeovil, Guy N. Smith, Adrian Cole, D.F. Lewis, Ramsey Campbell, David Sutton, Peter Tremayne",1994,"The Shadows Over Innsmouth","Shadows over Innsmouth","eng","https://images.gr-assets.com/books/1293833116m/320700.jpg"
9059,"1416548483","James Lee Burke",2007,"The Tin Roof Blowdown","The Tin Roof Blowdown (Dave Robicheaux, #16)","eng","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
9060,"1847673767","Nick Cave",2009,"The Death of Bunny Munro","The Death of Bunny Munro","eng","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
9061,"60097914","Jeff Brown, Scott Nash, Macky Pamintuan",1964,"Flat Stanley","Flat Stanley (Flat Stanley, #1)","eng","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
9062,"1426858329","Julie Kagawa",2010,"Winter's Passage (Iron Fey, #1.5)","Winter's Passage (Iron Fey, #1.5)","eng","https://images.gr-assets.com/books/1271790569m/8070049.jpg"
9063,"688149006","Donald Crews",1978,"Freight Train (Caldecott Collection)","Freight Train","nan","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
9064,"547250258","Kate Clifford Larson",2015,"Rosemary: The Hidden Kennedy Daughter","Rosemary: The Hidden Kennedy Daughter","en-CA","https://images.gr-assets.com/books/1439253720m/23719479.jpg"
9065,"60755806","Jennifer Haigh",2011,"Faith","Faith","en-US","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
9066,"60774126","Lynsay Sands",2007,"Bite Me If You Can","Bite Me If You Can (Argeneau #6)","en-US","https://images.gr-assets.com/books/1351280801m/38529.jpg"
9067,"nan","Kristen Ashley",2011,"nan","The Golden Dynasty (Fantasyland, #2)","eng","https://images.gr-assets.com/books/1327913192m/12458287.jpg"
9068,"743484304","Mary Higgins Clark",1996,"Moonlight Becomes You","Moonlight Becomes You","eng","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
9069,"439771242","Ann M. Martin",2002,"A Corner of the Universe","A Corner of the Universe","eng","https://images.gr-assets.com/books/1400681323m/65070.jpg"
9070,"316154385","Alice Hoffman",2005,"The Ice Queen","The Ice Queen","en-US","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
9071,"749732105","Enid Blyton",1946,"The Folk of Faraway Tree","The Folk of the Faraway Tree (The Faraway Tree, #3)","eng","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
9072,"385353774","Garth Risk Hallberg",2015,"City on Fire","City on Fire","eng","https://images.gr-assets.com/books/1422969880m/24189224.jpg"
9073,"380005255","Kathleen E. Woodiwiss",1972,"The Flame and the Flower","The Flame and the Flower","nan","https://images.gr-assets.com/books/1305316569m/896623.jpg"
9074,"380803275","Raymond E. Feist",2004,"Exile's Return","Exile's Return (Conclave of Shadows, #3)","nan","https://images.gr-assets.com/books/1409594776m/13809.jpg"
9075,"1599904780","Jessica Day George",2010,"Princess of Glass","Princess of Glass (The Princesses of Westfalin Trilogy, #2)","eng","https://images.gr-assets.com/books/1397878579m/7199667.jpg"
9076,"402366174","The Church of Jesus Christ of Latter-day Saints",2004,"Preach My Gospel (A Guide to Missionary Service)","Preach My Gospel: A Guide To Missionary Service","nan","https://images.gr-assets.com/books/1399612262m/2350129.jpg"
9077,"547738471","Jasper Fforde",2010,"The Last Dragonslayer","The Last Dragonslayer (The Chronicles of Kazam, #1)","eng","https://images.gr-assets.com/books/1346791460m/13316328.jpg"
9078,"039474067X","Edward Said",1978,"Orientalism","Orientalism","eng","https://images.gr-assets.com/books/1409777781m/355190.jpg"
9079,"1573458716","Gerald N. Lund",1991,"The Work and the Glory, Vol. 2: Like a Fire Burning","Like a Fire Burning (The Work and the Glory, #2)","nan","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
9080,"451201027","Eric Jerome Dickey",1997,"Friends and Lovers","Friends and Lovers","eng","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
9081,"60514094","Georgia Byng",2002,"Molly Moon's Incredible Book of Hypnotism","Molly Moon's Incredible Book of Hypnotism (Molly Moon, #1)","eng","https://images.gr-assets.com/books/1330953305m/807968.jpg"
9082,"312286252","Matthew Reilly",1996,"Contest","Contest","nan","https://images.gr-assets.com/books/1311984048m/144773.jpg"
9083,"1573223565","Nick Hornby",2003,"31 Songs","Songbook","en-US","https://images.gr-assets.com/books/1417984618m/4261.jpg"
9084,"812975294","Tom Brokaw",1998,"The Greatest Generation","The Greatest Generation","nan","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
9085,"375421874","Philip K. Dick",1956,"The Minority Report","The Minority Report","nan","https://images.gr-assets.com/books/1390719396m/581125.jpg"
9086,"553575422","Lynn Flewelling",1996,"Luck in the Shadows","Luck in the Shadows (Nightrunner, #1)","eng","https://images.gr-assets.com/books/1486846979m/74270.jpg"
9087,"618750436","Jacqueline Davies",2007,"The Lemonade War","The Lemonade War (The Lemonade War, #1)","en-US","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
9088,"067982412X","Mary Pope Osborne, Salvatore Murdocca",1993,"The Knight at Dawn (Magic Tree House, #2)","The Knight at Dawn (Magic Tree House, #2)","eng","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png"
9089,"nan","H.M. Ward",2013,"nan","The Arrangement: The Ferro Family (The Arrangement, #1)","eng","https://images.gr-assets.com/books/1356483152m/17181905.jpg"
9090,"nan","Ilana Tan",2008,"Winter in Tokyo","Winter in Tokyo","ind","https://images.gr-assets.com/books/1444921235m/4566934.jpg"
9091,"60779632","John Searles",2013,"nan","Help for the Haunted","eng","https://images.gr-assets.com/books/1379084909m/17348985.jpg"
9092,"1421506270","Tsugumi Ohba, Takeshi Obata",2005,"デスノート #6 (Desu Nōto) Kōkan (交換)","Death Note, Vol. 6: Give-and-Take (Death Note, #6)","eng","https://images.gr-assets.com/books/1485574610m/13620.jpg"
9093,"1423116968","Rick Riordan, Robert Venditti, José Villarrubia, Attila Futaki",2010,"The Lightning Thief: The Graphic Novel","The Lightning Thief: The Graphic Novel (Percy Jackson and the Olympians, #1)","eng","https://images.gr-assets.com/books/1347899366m/7736086.jpg"
